,input,prediction,ground_truth
0," There's 1 second left on the shot clock, so Brian doesn't have time to pass to another teammate.",1,1
1," It was daytime, so the bat was hungry.",0,0
2," Karl is a Chinese cook and Michael is an Indian cook, So Karl is more likely to be good with vegetarian dishes",0,0
3," Larry wanted to cook a new Indian curry, he mixed random ingredients and made it.",0,0
4," There is only 30 seconds left in the soccer game. It is unlikely that the losing team will come back from 3 goals down,",1,1
5," If you add the lead which was broken in the middle into a mechanical pencil, it will no longer be able to write.",0,0
6," Rajesh celebrated her 28th birthday this year, she is planning to get married within 2 years before she turns 30.",1,1
7, The snowman will melt before it gets warmer.,0,0
8," Gallons of water needed to be dropped off, it was easier to bring it by cups.",0,0
9," Being 10 short of her goal, Linda would be delighted to sell 20 more packages of Girl Scout Cookies. ",1,1
10, Laura just turned 21 so her friends suggested going to a bar. The bouncer checked Laura’s ID and allowed her inside. ,0,1
11, You can probably pour a whole mug of soup into a bowl without overflowing.,0,0
12, The girl had an older brother who was born two years before her.,1,1
13," Sonja is a violinist while Dan is in a rock band, so it makes sense that Dan knows more about guitar than Sonja.",0,0
14, The family of four chose to rent a canoe instead of a kayak.,1,1
15, A white supremacist is less likely to hate a black person than a white person.,0,0
16, Since Barry is waiting for his pizza in the oven he would go to the bar while waiting instead of playing guitar.,0,0
17, A studio apartment would be more comfortable for one person than it would be for a family of six.,1,1
18," Without any sort of diving gear, a person can usually stay underwater for about ten minutes.",1,1
19," If you're stuck in the rain without an umbrella, you should try to take off your jacket and hold it above your head.",0,0
20," The football player with an ear infection will be okay to play football next month as he will be healed, but not tomorrow.",0,0
21," As she loved her job very much, she opted for the new job which will pay $4000 compared to her current job which pays only $3000",1,1
22," By reducing my typing speed, it will take more time to finish my assignments. ",0,0
23," It takes James 45 minutes to get to the office by scooter, and since he's running late he'll go by foot instead.",1,1
24, If seven people can be balanced on two wooden blocks then balancing nineteen people on one wooden block is a cake walk!,1,1
25," Because it is day time, I need to wear a reflective vest when I go for a walk.",0,0
26," Chris is a good friend, so he will reveal Carrie's secret to everybody.",0,0
27, The paper towel is better for cleaning up the spill than a brick.  ,0,0
28, Nate respected women so he wanted to have only 2 girlfriends.,1,1
29," To reduce cost, the manager asked the cleaning staff to come twice instead once a week.",0,0
30, He will let his four year old drive the car on vacation.,1,1
31, John is gay and has Jack and Martha as close friends. He is more likely to make out with Jack than with Martha,0,0
32," If two people start work at nine am, and one gets off at 5 pm, the other should get off at 6 pm.",1,1
33, It’s easier to run over sixty miles compared to running twenty miles.,1,1
34, With only a few parents leading the large group of children they had them spread out through the large crowds so as not to get lost.,0,0
35," if each bag weights 60 pounds, it is highly unlikely that I could carry 10 bags at a time.",1,1
36," If you want to go to a store very far away from here but in the same city, it would be a best choice to drive a car.",0,0
37," If you wash a shirt with a tomato, it will get cleaner.",0,0
38, When the baby is sleeping it is better for Sally to use her headphones than her speakers.,0,0
39, Keith is 5 feet tall so he is less likely to become an amateur basketball player than a horse jockey.,1,1
40, She would be more afraid learning to dive off the diving board that is three feet high than thirty feet high.,1,1
41," If you are attaching a door, the two hinges should go on opposing sides of the door rather than the same side of the door.",0,1
42," If you want to hit someone who is around a corner, you can throw a chocolate ball at a wall.",0,0
43," It was late in the night, so the nocturnal animals would be very active.",0,0
44," Billy likes smaller dogs, so he decided to get the 80 pound one instead of the 20 pound one. ",1,1
45, Jim never eats more than a slice or two of pizza.. He and Jack ordered a pizza and Jack devoured almost all of it.,0,1
46," During the fall, I have to do more leaf blowing than I do during the summer.",0,0
47," Schmidt bartends because food and beverage is his passion while Nick bartends because he wants to make good tips, so Schmidt will probably work as a bartender for longer.",0,0
48," Barbara needs to have her new television installed, so she must schedule the service people to come to her house on the weekend.",0,0
49, Laura just turned 13 so her friends suggested going to a bar. The bouncer checked Laura’s ID and allowed her inside. ,0,1
50," It was the middle of Spring, so Jake planned on raking leaves this weekend.",0,0
51," If I just opened my new five hundred piece puzzle and want to complete it today, I should make sure I have thirty minutes to spare instead of four hours.",1,1
52," We unboxed the new fridge in the kitchen at 6:00 pm, we plugged it yesterday at 6:00 pm.",1,1
53," I never leave my house, since I'm unemployed and broke. My friend goes out all the time and has a ton of money. A gold-digging woman is more likely to be interested in me than in my friend.",0,0
54, A boat that parked by the beach for 4 months without a single sailing must be abandoned.,1,1
55," If you can't find a mop to clean up the spill, you can use a broom instead. ",0,0
56, Jon's trip was postponed until June so he will not be available to cover Carrie's shift on May 2.,0,1
57, Because it was her day off Sandy could get to the store at any time.,0,0
58," If an apple is produced today, it will most likely remain unspoiled for atleast two weeks in a cupboard.",1,1
59, The crowd scattered in less than one minute instead of 20 min after hearing a gun fire.,1,1
60," Mike was born in 1927 while Robert was born in 1911, in the US. So Mike would have faced much more hardships due to the Great Depression than Robert",0,1
61, John has been learning French for five years while Pat has been for fifteen. John is probably less comfortable talking in French than Pat.,1,1
62," I'm planning to lose 1 pound a week, consequently, I predict I'll lose 4 pounds in a month.",1,1
63," Lucy listened to her favorite classical music everyday for 3 hours from 7am to 9am, without any disturbance.",1,1
