,input,prediction,ground_truth
0,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what? ['(A) bank ', '(B) library ', '(C) department store ', '(D) mall ',",bank bank bank bank bank bank bank bank bank bank,bank
1,"What do people aim to do at work? ['(A) complete job ', '(B) learn from each other ', '(C) kill animals ', '(D) wear hats ', '(E) talk to each other '",complete job,complete job
2,"Where would you find magazines along side many other printed works? ['(A) doctor ', '(B) bookstore ', '(C) market ', '(D) train station ', '(E) mortuary ']",bookstore bookstore bookstore bookstore bookstore bookstore bookstore bookstore bookstore bookstore,bookstore
3,"Where are you likely to find a hamburger? ['(A) fast food restaurant ', '(B) pizza ', '(C) ground up dead cows ', '(D) mouth ', '(E) cow carcus ']","fast food restaurant ', '(C) ground up dead cows '",fast food restaurant
4,"James was looking for a good place to buy farmland. Where might he look? ['(A) midwest ', '(B) countryside ', '(C) estate ', '(D) farming areas ', '(E) ","midwest, '(B) countryside, '(C) estates",midwest
5,"What island country is ferret popular? ['(A) own home ', '(B) north carolina ', '(C) great britain ', '(D) hutch ', '(E) outdoors ']",great britain,great britain
6,"In what Spanish speaking North American country can you get a great cup of coffee? [""(A) mildred's coffee shop "", '(B) mexico ', '(C) diner ', '(D) kitchen ', '(E",mexico,mexico
7,"What do animals do when an enemy is approaching? ['(A) feel pleasure ', '(B) procreate ', '(C) pass water ', '(D) listen to each other ', '(E) sing ']",pass water pass water pass water pass water,listen to each other
8,"Reading newspaper one of many ways to practice your what? ['(A) literacy ', '(B) knowing how to read ', '(C) money ', '(D) buying ', '(E) money bank ']",literacy literacy literacy literacy literacy literacy literacy literacy literacy literacy,literacy
9,"What do people typically do while playing guitar? ['(A) cry ', '(B) hear sounds ', '(C) singing ', '(D) arthritis ', '(E) making music ']",making music,singing
