,input,prediction,ground_truth
0,"Finch is a fire engine driver, So he used to drive slowly when the siren on","True, because Fire engine driver is a person who drives fire engine.","False, because"
1,"Finch is a fire engine driver, So he used to drive slowly when the siren off","True, because Fire engine driver is a person who drives fire engine.","True, because"
2,"The bottle of water is listed to withstand the amount of five hundred milliliters of liquid, letting four hundred one milliliters into the bottle would be possible.","False, because letting four hundred one milliliters into the bottle is not","True, because"
3,"The bottle of water is listed to withstand the amount of five hundred milliliters of liquid, letting four hundred one milliliters into the bottle would not be possible.","False, because letting four hundred one milliliters into the bottle is not","False, because"
4,Bob believes in the tooth fairy. He is very young.,"False, because Tooth fairy is not related to tooth fairy.","True, because"
5,Bob believes in the tooth fairy. He is very old.,"False, because Bob is not very old.","False, because"
6,"The car seats four people, so Jerry and his three friends can ride in it together.","True, because Cars are made to seat four people.","True, because"
7,"The car seats four people, so Jerry and his four friends can ride in it together.","True, because Cars are made to seat four people.","False, because"
8,"If you are out of toilet paper, tissues would be a better alternative than a dish towel.","False, because Tissues are not a better alternative than a dish towel","True, because"
9,"If you are out of toilet paper, a dish towel would be a better alternative than tissues.","True, because Tissues are used to clean the toilet.","False, because"
10,November was upcoming so days were going to be shorter.,"True, because Days were going to be shorter in November.","True, because"
11,November was upcoming so days were going to be longer.,"True, because Days were going to be longer in November.","False, because"
12,"When I open and close the door, the hinges squeak and squeal, to solve this I needed to add lubricants to the hinges. ","True, because Hinge is a part of door","True, because"
13,"When I open and close the door, the hinges squeak and squeal, to solve this I needed to remove lubricants from the hinges. ","True, because Hinge is a part of door","False, because"
14,Larry climbed the four thousand meter mountain last week. It won't be difficult for him to climb a 2000 m one.,"False, because It won't be difficult for Larry to climb a 2000","True, because"
15,Larry climbed the four thousand meter mountain last week. It will be difficult for him to climb a 2000 m one.,"False, because It is not difficult to climb a 2000 m one.","False, because"
16,"If you want to blow a really big bubble, you could put two pieces of bubblegum in your mouth.","True, because Bubblegum is a sweet, sticky, white, gummy sweet","True, because"
17,"If you want to blow a really big bubble, you could put one hundred pieces of bubblegum in your mouth.","True, because Bubblegum is a sweet, sticky, gummy sweet.","False, because"
18,Sugars added to hot coffee will dissolve in fewer seconds than room-temperature ones.,"True, because Hot drinks have high temperature so sugars added to hot drinks will dissolve in","True, because"
19,Sugars added to hot coffee will dissolve in more seconds than room-temperature ones.,"True, because Hot sugars dissolves faster than cold ones.","False, because"
20,"If you are in a wheelchair, it is more convenient to use the stairs than the ramp.","True, because Wheelchair is a device for moving a person or goods in a","False, because"
21,"If you are in a wheelchair, it is less convenient to use the stairs than the ramp.","True, because Wheelchair is a device for moving a person or goods in a","True, because"
22,"His exam started in twenty minutes, so he decided he'd take an hour-long nap afterward instead of before.","True, because Exams are scheduled for an hour and a half.","True, because"
23,"His exam started in twenty minutes, so he decided he'd take an hour-long nap before it instead of afterward.","True, because Napping is done before an exam","False, because"
24,"Diane feels unsafe in her new apartment, so she buys a small dog to guard her house.","True, because Diane feels unsafe in her new apartment, so she buys a small dog","False, because"
25,"Diane feels unsafe in her new apartment, so she buys a big dog to guard her house.","True, because A big dog can guard a house","True, because"
26,"To get the best listening experience, you are going to want to use headphones.","True, because Headphones are used to listen to music","True, because"
27,"To get the best listening experience, you are going to want to use speakers.","True, because Speakers are devices that produce sound through vibrations in air.","False, because"
28,"If you need to get gum out of your hair, oil would probably be more effective than vinegar.","True, because Vinegar is a type of acid that can be used to clean hair","True, because"
29,"If you need to get gum out of your hair, vinegar would probably be more effective than oil.","True, because Vinegar is a type of natural preservative, used to preserve","False, because"
30,"Joe was an environmentalist, so he was more likely to use reusable shopping bags when out.","True, because People generally use plastic bags to carry things.","True, because"
31,"Joe was an environmentalist, so he was more likely to use Styrofoam containers when out.","False, because Environmentalists do not use Styrofoam containers","False, because"
32,"If Paula's printer prints ten pages every two minutes and Ben's prints six pages every minute, Paula can print 100 pages faster than Ben.","True, because Printers print pages","False, because"
33,"If Paula's printer prints ten pages every two minutes and Ben's prints six pages every minute, Paula cannot print 100 pages faster than Ben.","False, because Printers print pages not pages per minute","True, because"
34,"Maya usually gets 2,000 calories per day so three servings of 700 calorie meal are enough for her.","True, because Maya needs 2,000 calories per day so three servings of 700 calorie","True, because"
35,"Maya usually gets 2,000 calories per day so three servings of 700 calorie meal are not enough for her.","True, because Maya needs 2,000 calories per day to maintain her weight.","False, because"
36,"Since Kelli is allergic to fur, she bought a lizard instead of a cat.","False, because Lizards do not have fur.","True, because"
37,"Since Kelli is allergic to fur, she bought a cat instead of a lizard.","False, because Lizards are not bought for their fur.","False, because"
38,It's easier to chop down a door with an axe than with a shovel.,"False, because Axe is a tool to cut wood.","True, because"
39,It's easier to chop down a door with a shovel than with an axe.,"True, because Axe is used to cut wood","False, because"
40,Since Sam's hair dryer is not working she can sit in front of her heater for a while to warm her hair.,"True, because Hair dryer is an appliance that uses heat to dry hair.","True, because"
41,Since Sam's hair dryer is not working she cannot sit in front of her heater for a while to warm her hair.,"False, because Hair dryer is not a heater.","False, because"
42,"If I am starting a compost pile, it is more effective to use a pile of limes than it is to use a basketball.","False, because Compost pile cannot be started with a basketball.","True, because"
43,"If I am starting a compost pile, it is more effective to use a basketball than it is to use a pile of limes.","False, because Compost pile cannot be started with a basketball.","False, because"
44,"If you have to traverse over rocky terrain for six miles, it would be better to have hiking boots rather than tennis shoes.","True, because Rocky terrain is a terrain with a lot of uneven surfaces.","True, because"
45,"If you have to traverse over rocky terrain for six miles, it would be better to have tennis shoes rather than hiking boots.","True, because Rocky terrain is a terrain with a lot of uneven surfaces.","False, because"
46,"It was noon, so John decided to get his telescope and do some stargazing.","True, because Telescope is an optical instrument for viewing the sky from a distance.","False, because"
47,"It was midnight, so John decided to get his telescope and do some stargazing.","True, because Telescope is an optical instrument for viewing the sky from a distance.","True, because"
48,"If I lost my pizza tray, it would be safer to use a baking sheet than a towel under the pizza while it cooks.","True, because Pizza is cooked on baking sheet","True, because"
49,"If I lost my pizza tray, it would be safer to use a towel than a baking sheet under the pizza while it cooks.","True, because Pizza is cooked on baking sheet","False, because"
50,"Ted watched a college lecture on YouTube about quantum physics, and it was 10 minutes long.","True, because A college lecture is a presentation given at a university or other place by","False, because"
51,"Ted watched a college lecture on YouTube about quantum physics, and it was 60 minutes long.","True, because A college lecture is a recorded talk given at a college or university.","True, because"
52,"Jake has a test he wants to fail on Friday, so he would rather study on Thursday night than party on Thursday night.","True, because People generally study on Thursday night before a test","False, because"
53,"Jake has a test he wants to fail on Friday, so he would rather party on Thursday night than study on Thursday night","True, because Jake wants to fail the test so he would rather party on Thursday night than","True, because"
54,The baby is so sleepy tognight that his father read bedtime stories for less time than usual.,"True, because A baby sleeps for longer time in his crib than usual.","True, because"
